nombre_modelo,dim_latente,arquitectura,epocas_max,learning_rate,convergio,epocas_reales,mse,precision,parametros
tp3_WideReLU_L10_lat2_ep8000_lr0_001,2,WideReLU_L10,8000,0.001,False,527,0.16910349775778688,71.60714285714286,2977
tp3_WideReLU_L10_lat2_ep8000_lr0_0005,2,WideReLU_L10,8000,0.0005,False,607,0.17032567632796333,72.94642857142857,2977
tp3_WideReLU_L10_lat2_ep10000_lr0_0005,2,WideReLU_L10,10000,0.0005,False,713,0.17071532816612356,73.83928571428572,2977
tp3_WideReLU_L10_lat2_ep10000_lr0_001,2,WideReLU_L10,10000,0.001,False,618,0.17190251827937075,73.125,2977
tp3_BalancedAE_lat2_ep6000_lr0_0001,2,BalancedAE,6000,0.0001,False,1054,0.17204363199923287,76.07142857142857,2905
tp3_DeepReLU_L8_lat2_ep8000_lr0_00075,2,DeepReLU_L8,8000,0.00075,False,570,0.17649953417060854,72.05357142857143,4065
tp3_WideReLU_L10_lat2_ep8000_lr0_00075,2,WideReLU_L10,8000,0.00075,False,585,0.17926958068162727,71.07142857142857,2977
tp3_BalancedAE_lat2_ep2000_lr0_0001,2,BalancedAE,2000,0.0001,False,962,0.17960238330092904,73.21428571428571,2905
tp3_BalancedAE_lat2_ep4000_lr0_0005,2,BalancedAE,4000,0.0005,False,370,0.19682372661639463,70.26785714285714,2905
tp3_DeepReLU_L8_lat2_ep10000_lr0_00075,2,DeepReLU_L8,10000,0.00075,False,10000,0.199172262200937,69.28571428571428,4065
tp3_WideTanhAE_lat5_ep8000_lr0_0005,5,WideTanhAE,8000,0.0005,False,1327,0.07127278544338268,91.42857142857143,3352
tp3_BalancedAE_L9_lat5_ep8000_lr0_00075,5,BalancedAE_L9,8000,0.00075,False,1085,0.07512469330967836,91.16071428571428,2998
tp3_WideTanhAE_lat5_ep10000_lr0_00075,5,WideTanhAE,10000,0.00075,False,914,0.07773226118110696,90.44642857142857,3352
tp3_BalancedAE_L9_lat5_ep10000_lr0_00075,5,BalancedAE_L9,10000,0.00075,False,1112,0.08092650949101687,90.53571428571429,2998
tp3_BalancedAE_L9_lat5_ep8000_lr0_001,5,BalancedAE_L9,8000,0.001,False,825,0.08355580326312058,89.91071428571429,2998
tp3_BalancedAE_lat5_ep4000_lr0_001,5,BalancedAE,4000,0.001,False,584,0.09521200352753037,87.85714285714286,2956
tp3_WideTanhAE_lat5_ep10000_lr0_0005,5,WideTanhAE,10000,0.0005,False,1038,0.09838721709845631,87.67857142857143,3352
tp3_WideTanhAE_lat5_ep8000_lr0_00075,5,WideTanhAE,8000,0.00075,False,744,0.10482247947302738,85.71428571428571,3352
tp3_DeepBalancedAE_lat5_ep6000_lr0_001,5,DeepBalancedAE,6000,0.001,False,428,0.10494567578203792,86.16071428571429,4116
tp3_BalancedAE_lat5_ep8000_lr0_0005,5,BalancedAE,8000,0.0005,False,1249,0.10585837000454289,86.33928571428572,2956
tp3_BalancedAE_lat5_ep6000_lr0_0005,5,BalancedAE,6000,0.0005,False,738,0.10607222951586864,86.33928571428572,2956
tp3_BalancedAE_lat5_ep8000_lr0_001,5,BalancedAE,8000,0.001,False,689,0.10791077519407835,85.625,2956
tp3_BalancedAE_lat5_ep10000_lr0_001,5,BalancedAE,10000,0.001,False,609,0.11070535426966809,86.25,2956
tp3_DeepBalancedAE_lat5_ep10000_lr0_001,5,DeepBalancedAE,10000,0.001,False,661,0.11117061496573781,84.91071428571428,4116
tp3_DeepBalancedAE_lat5_ep4000_lr0_001,5,DeepBalancedAE,4000,0.001,False,441,0.11174793295468777,84.55357142857143,4116
tp3_BalancedAE_lat5_ep8000_lr0_00075,5,BalancedAE,8000,0.00075,False,665,0.11322790886785349,85.26785714285714,2956
tp3_BalancedAE_L9_lat5_ep10000_lr0_001,5,BalancedAE_L9,10000,0.001,False,639,0.11412654304870495,85.08928571428571,2998
tp3_DeepBalancedAE_lat5_ep8000_lr0_001,5,DeepBalancedAE,8000,0.001,False,629,0.11498154204115027,83.39285714285715,4116
tp3_DeepBalancedAE_lat5_ep2000_lr0_0001,5,DeepBalancedAE,2000,0.0001,False,1799,0.1167107525038769,83.92857142857143,4116
tp3_DeepBalancedAE_lat5_ep2000_lr0_001,5,DeepBalancedAE,2000,0.001,False,404,0.11713056265396547,83.30357142857143,4116
